AcademicBackground,AcademicLevel,ProgrammingSkill,DataSkill,CybersecuritySkill,CloudSkill,NetworkingSkill,DatabaseSkill,DesignSkill,AISkill,TechnologyInterest,DataInterest,DesignInterest,LeadershipInterest,SocialImpactInterest,ProgrammingSelfAssessment,CommunicationSelfAssessment,ProblemSolvingSelfAssessment,CollaborationSelfAssessment,LearningAgility,PreferredEnvironment,PreferredPace,StabilityPreference,CompensationPreference,IndustryPreference,CareerLabel
Cybersecurity,Undergraduate,4,2,5,3,4,3,1,4,5,3,1,3,1,4,4,5,4,4,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
ComputerScience,Graduate,5,3,5,3,3,4,2,3,5,1,1,1,1,5,2,5,2,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
Cybersecurity,Undergraduate,4,3,4,4,4,3,2,2,5,3,3,1,1,4,4,5,1,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
ComputerScience,Undergraduate,3,4,5,3,4,2,3,3,4,3,1,1,3,2,4,5,2,5,OfficeBased,Moderate,Stability,SalaryBenefits,Finance,Cybersecurity Analyst
InformationTechnology,Undergraduate,4,3,3,4,5,3,2,3,5,4,1,3,1,4,5,4,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
ComputerEngineering,Undergraduate,4,2,4,5,4,3,1,4,5,3,1,4,1,4,4,5,5,4,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
InformationTechnology,Undergraduate,5,3,3,5,3,4,2,3,5,1,1,3,1,5,2,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
ComputerEngineering,Graduate,4,3,2,5,4,3,2,2,5,3,3,1,1,4,4,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
InformationTechnology,Undergraduate,3,4,3,5,4,2,3,3,4,3,1,3,3,2,4,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
ComputerEngineering,Undergraduate,4,3,3,4,5,3,2,3,5,4,1,3,1,4,5,4,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
InformationTechnology,Undergraduate,4,2,4,5,4,3,1,4,5,3,1,4,1,4,4,5,5,4,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
ComputerEngineering,Graduate,5,3,3,5,3,4,2,3,5,1,1,3,1,5,2,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
InformationTechnology,Undergraduate,4,3,2,5,4,3,2,2,5,3,3,1,1,4,4,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
ComputerEngineering,Undergraduate,3,4,3,5,4,2,3,3,4,3,1,3,3,2,4,5,4,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,Cloud Engineer
ComputerNetworking,Undergraduate,3,2,3,3,5,2,1,2,4,3,1,3,1,2,5,2,4,4,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
InformationTechnology,Undergraduate,3,1,4,4,5,2,1,3,4,1,1,4,1,2,4,4,5,3,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
ComputerNetworking,Undergraduate,4,2,3,4,4,3,1,2,5,1,1,3,1,4,2,4,4,4,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
InformationTechnology,Graduate,3,2,2,5,5,2,1,1,4,1,3,1,1,2,4,5,2,4,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
ComputerNetworking,Undergraduate,2,3,3,4,5,1,2,2,3,1,1,3,3,1,4,4,4,5,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
InformationTechnology,Undergraduate,3,2,3,3,5,2,1,2,4,3,1,3,1,2,5,2,4,4,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
ComputerNetworking,Undergraduate,3,1,4,4,5,2,1,3,4,1,1,4,1,2,4,4,5,3,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
InformationTechnology,Graduate,4,2,3,4,4,3,1,2,5,1,1,3,1,4,2,4,4,4,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
ComputerNetworking,Undergraduate,3,2,2,5,5,2,1,1,4,1,3,1,1,2,4,5,2,4,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
InformationTechnology,Undergraduate,2,3,3,4,5,1,2,2,3,1,1,3,3,1,4,4,4,5,OfficeBased,Moderate,Stability,SalaryBenefits,Technology,Network Administrator
InformationSystems,Undergraduate,3,4,3,2,4,5,1,3,4,5,1,1,1,4,4,4,2,4,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
ComputerScience,Undergraduate,3,3,4,3,3,5,1,4,4,4,1,3,1,4,2,5,4,3,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
InformationSystems,Undergraduate,4,4,3,3,2,5,1,3,5,3,1,1,1,5,1,5,2,4,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
ComputerScience,Graduate,3,4,2,4,3,5,1,2,4,4,3,1,1,4,2,5,1,4,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
InformationSystems,Undergraduate,2,5,3,3,3,4,2,3,3,4,1,1,3,2,2,5,2,5,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
ComputerScience,Undergraduate,3,4,3,2,4,5,1,3,4,5,1,1,1,4,4,4,2,4,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
InformationSystems,Undergraduate,3,3,4,3,3,5,1,4,4,4,1,3,1,4,2,5,4,3,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
ComputerScience,Graduate,4,4,3,3,2,5,1,3,5,3,1,1,1,5,1,5,2,4,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
InformationSystems,Undergraduate,3,4,2,4,3,5,1,2,4,4,3,1,1,4,2,5,1,4,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
ComputerScience,Undergraduate,2,5,3,3,3,4,2,3,3,4,1,1,3,2,2,5,2,5,OfficeBased,Slow,Stability,SalaryBenefits,Finance,Database Administrator
GraphicDesign,Undergraduate,2,3,1,1,3,2,5,2,4,4,4,3,5,2,5,2,5,4,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
InformationTechnology,Undergraduate,2,2,2,1,2,2,4,3,4,3,5,4,4,2,5,4,5,3,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
GraphicDesign,Undergraduate,3,3,1,1,1,3,5,2,5,1,5,3,5,4,4,4,5,4,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
InformationTechnology,Graduate,2,3,1,2,2,2,5,1,4,3,5,1,5,2,5,5,4,4,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
GraphicDesign,Undergraduate,1,4,1,1,2,1,5,2,3,3,5,3,5,1,5,4,5,5,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
InformationTechnology,Undergraduate,2,3,1,1,3,2,5,2,4,4,4,3,5,2,5,2,5,4,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
GraphicDesign,Undergraduate,2,2,2,1,2,2,4,3,4,3,5,4,4,2,5,4,5,3,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
InformationTechnology,Graduate,3,3,1,1,1,3,5,2,5,1,5,3,5,4,4,4,5,4,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
GraphicDesign,Undergraduate,2,3,1,2,2,2,5,1,4,3,5,1,5,2,5,5,4,4,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
InformationTechnology,Undergraduate,1,4,1,1,2,1,5,2,3,3,5,3,5,1,5,4,5,5,Flexible,Flexible,Balanced,FreelanceContract,Other,UI/UX Designer
ComputerScience,Undergraduate,5,5,2,3,3,4,2,5,5,5,1,1,1,5,5,4,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
Mathematics,Undergraduate,5,4,3,4,2,4,1,5,5,5,1,3,1,5,4,5,4,4,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
ComputerScience,Undergraduate,5,5,2,4,1,5,2,5,5,4,1,1,1,5,2,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
Mathematics,Graduate,5,5,1,5,2,4,2,4,5,5,3,1,1,5,4,5,1,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
ComputerScience,Undergraduate,4,5,2,4,2,3,3,5,4,5,1,1,3,4,4,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
Mathematics,Undergraduate,5,5,2,3,3,4,2,5,5,5,1,1,1,5,5,4,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
ComputerScience,Undergraduate,5,4,3,4,2,4,1,5,5,5,1,3,1,5,4,5,4,4,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
Mathematics,Graduate,5,5,2,4,1,5,2,5,5,4,1,1,1,5,2,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
ComputerScience,Undergraduate,5,5,1,5,2,4,2,4,5,5,3,1,1,5,4,5,1,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
Mathematics,Undergraduate,4,5,2,4,2,3,3,5,4,5,1,1,3,4,4,5,2,5,RemoteHybrid,Fast,Growth,SalaryEquity,Technology,AI/ML Engineer
